file,sample_id,change_count,changes
cdr_0/one_person_description/cdr_0_voice2_female_picture_description_0161.json,cdr_0_voice2_female_picture_description_0161,6,event_script:rebuilt_from_marked_transcript; event_stats:recalculated; impairment_features:removed_pause_event_count; marked_transcript:normalized; speech_rate_target:promoted_to_top_level; spoken_transcript:rebuilt_from_marked_without_markers
cdr_0/one_person_description/cdr_0_voice2_female_picture_description_0183.json,cdr_0_voice2_female_picture_description_0183,6,event_script:rebuilt_from_marked_transcript; event_stats:recalculated; impairment_features:removed_pause_event_count; marked_transcript:normalized; speech_rate_target:promoted_to_top_level; spoken_transcript:rebuilt_from_marked_without_markers
cdr_0/one_person_description/cdr_0_voice2_female_picture_description_0187.json,cdr_0_voice2_female_picture_description_0187,6,event_script:rebuilt_from_marked_transcript; event_stats:recalculated; impairment_features:removed_pause_event_count; marked_transcript:normalized; speech_rate_target:promoted_to_top_level; spoken_transcript:rebuilt_from_marked_without_markers
cdr_0/one_person_description/cdr_0_voice2_female_picture_description_0255.json,cdr_0_voice2_female_picture_description_0255,6,event_script:rebuilt_from_marked_transcript; event_stats:recalculated; impairment_features:removed_pause_event_count; marked_transcript:normalized; speech_rate_target:promoted_to_top_level; spoken_transcript:rebuilt_from_marked_without_markers
cdr_0/one_person_description/cdr_0_voice2_female_picture_description_0259.json,cdr_0_voice2_female_picture_description_0259,6,event_script:rebuilt_from_marked_transcript; event_stats:recalculated; impairment_features:removed_pause_event_count; marked_transcript:normalized; speech_rate_target:promoted_to_top_level; spoken_transcript:rebuilt_from_marked_without_markers
cdr_0/one_person_description/cdr_0_voice3_male_clinic_0045.json,cdr_0_voice3_male_clinic_0045,6,event_script:rebuilt_from_marked_transcript; event_stats:recalculated; impairment_features:removed_pause_event_count; marked_transcript:normalized; speech_rate_target:promoted_to_top_level; spoken_transcript:rebuilt_from_marked_without_markers
cdr_0/one_person_description/cdr_0_voice3_male_clinic_0075.json,cdr_0_voice3_male_clinic_0075,6,event_script:rebuilt_from_marked_transcript; event_stats:recalculated; impairment_features:removed_pause_event_count; marked_transcript:normalized; speech_rate_target:promoted_to_top_level; spoken_transcript:rebuilt_from_marked_without_markers
cdr_0/one_person_description/cdr_0_voice3_male_clinic_0085.json,cdr_0_voice3_male_clinic_0085,5,event_script:rebuilt_from_marked_transcript; event_stats:recalculated; impairment_features:removed_pause_event_count; speech_rate_target:promoted_to_top_level; spoken_transcript:rebuilt_from_marked_without_markers
cdr_0/one_person_description/cdr_0_voice3_male_daily_life_0103.json,cdr_0_voice3_male_daily_life_0103,6,event_script:rebuilt_from_marked_transcript; event_stats:recalculated; impairment_features:removed_pause_event_count; marked_transcript:normalized; speech_rate_target:promoted_to_top_level; spoken_transcript:rebuilt_from_marked_without_markers
cdr_0/one_person_description/cdr_0_voice3_male_family_0043.json,cdr_0_voice3_male_family_0043,5,event_script:rebuilt_from_marked_transcript; event_stats:recalculated; impairment_features:removed_pause_event_count; speech_rate_target:promoted_to_top_level; spoken_transcript:rebuilt_from_marked_without_markers
cdr_0/one_person_description/cdr_0_voice3_male_family_0117.json,cdr_0_voice3_male_family_0117,6,event_script:rebuilt_from_marked_transcript; event_stats:recalculated; impairment_features:removed_pause_event_count; marked_transcript:normalized; speech_rate_target:promoted_to_top_level; spoken_transcript:rebuilt_from_marked_without_markers
cdr_0/one_person_description/cdr_0_voice3_male_family_0138.json,cdr_0_voice3_male_family_0138,6,event_script:rebuilt_from_marked_transcript; event_stats:recalculated; impairment_features:removed_pause_event_count; marked_transcript:normalized; speech_rate_target:promoted_to_top_level; spoken_transcript:rebuilt_from_marked_without_markers
cdr_0/one_person_description/cdr_0_voice3_male_family_0174.json,cdr_0_voice3_male_family_0174,9,event_script:rebuilt_from_marked_transcript; event_stats:recalculated; impairment_features:removed_pause_event_count; marked_transcript:normalized; marked_transcript:traditional:电视->電視; speech_rate_target:promoted_to_top_level; spoken_transcript:normalized; spoken_transcript:rebuilt_from_marked_without_markers; spoken_transcript:traditional:电视->電視
cdr_0/one_person_description/cdr_0_voice3_male_family_0253.json,cdr_0_voice3_male_family_0253,6,event_script:rebuilt_from_marked_transcript; event_stats:recalculated; impairment_features:removed_pause_event_count; marked_transcript:normalized; speech_rate_target:promoted_to_top_level; spoken_transcript:rebuilt_from_marked_without_markers
cdr_0/one_person_description/cdr_0_voice3_male_family_0273.json,cdr_0_voice3_male_family_0273,5,event_script:rebuilt_from_marked_transcript; event_stats:recalculated; impairment_features:removed_pause_event_count; speech_rate_target:promoted_to_top_level; spoken_transcript:rebuilt_from_marked_without_markers
cdr_0/one_person_description/cdr_0_voice3_male_home_0112.json,cdr_0_voice3_male_home_0112,6,event_script:rebuilt_from_marked_transcript; event_stats:recalculated; impairment_features:removed_pause_event_count; marked_transcript:normalized; speech_rate_target:promoted_to_top_level; spoken_transcript:rebuilt_from_marked_without_markers
